Date,Product ID,Product Name,Department Id,Category Id,Category Name,Inventory Level,Total Units Sold,Total Sales,Total Profit,Units Ordered,Inventory Forecast,Product Price,Competitor Pricing,Cost to Company,Total Inventory,month,quarter,is_month_start,is_month_end
2015-10-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,90.0,8.0,279.92001344,45.069999939,22.0,28.0,34.99000168,36.18,25.25,82.0,10,4,True,False
2015-11-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,123.0,48.0,1679.52002688,323.68999909400003,34.0,41.0,34.99000168,34.55,27.71,75.0,11,4,True,False
2015-12-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,130.0,39.0,1364.61001562,336.630007751,39.0,55.0,34.99000168,37.32,23.81,91.0,12,4,True,False
2016-01-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,120.0,25.0,874.75003426,-276.62001004599995,25.0,29.0,34.99000168,36.39,21.35,95.0,1,1,True,False
2016-02-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,129.0,32.0,1119.6800230200001,-79.51999419500001,32.0,34.0,34.99000168,33.68,27.46,97.0,2,1,True,False
2016-03-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,125.0,24.0,839.76000198,131.340000148,24.0,28.0,34.99000168,37.32,27.18,101.0,3,1,True,False
2016-04-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,147.0,38.0,1329.62001394,320.759999276,38.0,46.0,34.99000168,37.12,24.65,109.0,4,2,True,False
2016-05-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,139.0,24.0,839.75999432,205.82000065,24.0,30.0,34.99000168,34.2,24.86,115.0,5,2,True,False
2016-06-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,141.0,19.0,664.81001656,181.479999536,20.0,26.0,34.99000168,33.51,22.48,122.0,6,2,True,False
2016-07-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,187.0,59.0,2064.4100529800003,18.690001019,58.0,65.0,34.99000168,36.27,26.73,128.0,7,3,True,False
2016-08-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,159.0,20.0,699.80001056,119.320002798,24.0,31.0,34.99000168,32.47,24.48,139.0,8,3,True,False
2016-09-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,172.0,15.0,524.85000984,154.65000344,26.0,33.0,34.99000168,32.89,21.23,157.0,9,3,True,False
2016-10-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,184.0,27.0,944.73001466,-10.52999782100001,21.0,27.0,34.99000168,31.54,25.77,157.0,10,4,True,False
2016-11-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,193.0,41.0,1434.59001898,-4.789998754000013,32.0,36.0,34.99000168,37.0,27.65,152.0,11,4,True,False
2016-12-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,182.0,29.0,1014.71001034,360.550002103,29.0,30.0,34.99000168,36.14,26.8,153.0,12,4,True,False
2017-01-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,201.0,34.0,1189.66002638,-204.250011889,34.0,48.0,34.99000168,36.43,22.93,167.0,1,1,True,False
2017-02-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,201.0,28.0,979.7200278,219.239999295,28.0,34.0,34.99000168,36.95,21.37,173.0,2,1,True,False
2017-03-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,238.0,48.0,1679.52004222,185.88000108,48.0,65.0,34.99000168,34.7,27.57,190.0,3,1,True,False
2017-04-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,227.0,14.0,489.86001198,93.770001406,29.0,37.0,34.99000168,35.47,27.55,213.0,4,2,True,False
2015-01-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,60.0,50.0,2999.50008008,732.429987822,49.0,60.0,59.99000168,57.64,38.71,10.0,1,1,True,False
2015-02-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,60.0,27.0,1619.73004538,460.1500034,40.0,50.0,59.99000168,54.36,42.58,33.0,2,1,True,False
2015-03-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,71.0,53.0,3179.47010796,911.21000726,30.0,38.0,59.99000168,59.23,38.58,18.0,3,1,True,False
2015-04-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,61.0,34.0,2039.66006088,384.590000191,34.0,43.0,59.99000168,56.57,37.95,27.0,4,2,True,False
2015-05-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,65.0,32.0,1919.6800462200001,340.900000561,32.0,38.0,59.99000168,58.89,42.75,33.0,5,2,True,False
2015-06-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,73.0,33.0,1979.67004008,482.45000175999996,33.0,40.0,59.99000168,64.23,40.41,40.0,6,2,True,False
2015-07-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,100.0,40.0,2399.60007864,260.73001673,40.0,60.0,59.99000168,56.8,43.51,60.0,7,3,True,False
2015-08-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,95.0,21.0,1259.7900314600001,260.359992988,28.0,35.0,59.99000168,54.69,46.94,74.0,8,3,True,False
2015-09-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,115.0,40.0,2399.60007502,222.069998194,33.0,41.0,59.99000168,57.37,37.81,75.0,9,3,True,False
2015-10-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,109.0,31.0,1859.69006346,262.610001476,31.0,34.0,59.99000168,57.51,46.95,78.0,10,4,True,False
2015-11-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,109.0,8.0,479.92000968,157.50000190999998,24.0,31.0,59.99000168,61.93,46.82,101.0,11,4,True,False
2015-12-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,127.0,37.0,2219.63006204,153.649992201,21.0,26.0,59.99000168,60.67,45.94,90.0,12,4,True,False
2016-01-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,120.0,19.0,1139.81003968,107.279999017,24.0,30.0,59.99000168,63.4,43.57,101.0,1,1,True,False
2016-02-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,139.0,36.0,2159.64005658,-228.209991839,31.0,38.0,59.99000168,61.96,43.43,103.0,2,1,True,False
2016-03-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,154.0,40.0,2399.60007098,613.379994353,40.0,51.0,59.99000168,58.87,43.66,114.0,3,1,True,False
2016-04-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,171.0,40.0,2399.60005942,547.180001084,40.0,57.0,59.99000168,63.76,44.28,131.0,4,2,True,False
2016-05-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,190.0,45.0,2699.55006784,110.96001909000002,45.0,59.0,59.99000168,55.99,36.19,145.0,5,2,True,False
2016-06-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,185.0,20.0,1199.80004498,344.70999914000004,32.0,40.0,59.99000168,54.26,47.49,165.0,6,2,True,False
2016-07-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,213.0,53.0,3179.4701005,531.8199959,41.0,48.0,59.99000168,55.07,43.02,160.0,7,3,True,False
2016-08-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,196.0,20.0,1199.80003738,61.560000422,28.0,36.0,59.99000168,62.66,45.37,176.0,8,3,True,False
2016-09-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,222.0,45.0,2699.55009452,383.870004052,37.0,46.0,59.99000168,59.53,40.52,177.0,9,3,True,False
2016-10-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,215.0,33.0,1979.67005926,-36.910002741,33.0,38.0,59.99000168,55.93,36.14,182.0,10,4,True,False
2016-11-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,210.0,25.0,1499.75004188,323.51000404,25.0,28.0,59.99000168,60.0,42.11,185.0,11,4,True,False
2016-12-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,226.0,36.0,2159.64006802,50.76000542300001,36.0,41.0,59.99000168,55.82,42.08,190.0,12,4,True,False
2017-01-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,227.0,32.0,1919.6800499,-73.45000058799998,32.0,37.0,59.99000168,62.35,41.24,195.0,1,1,True,False
2017-02-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,227.0,17.0,1019.8300285400001,233.47999957000002,25.0,32.0,59.99000168,59.34,40.07,210.0,2,1,True,False
2017-03-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,241.0,36.0,2159.64006796,250.789996154,28.0,31.0,59.99000168,58.56,38.99,205.0,3,1,True,False
2017-04-01,44,adidas Men's F10 Messi TRX FG Soccer Cleat,2,3,Baseball & Softball,253.0,36.0,2159.64005654,363.690003822,36.0,48.0,59.99000168,57.61,42.32,217.0,4,2,True,False
2017-04-01,78,Nike Kids' Grade School KD VI Basketball Shoe,2,5,Lacrosse,15.0,10.0,999.9000091,118.97000119999998,11.0,15.0,99.98999786,102.54,79.9,5.0,4,2,True,False
2015-01-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,42.0,31.0,774.68998893,123.379998681,33.0,42.0,24.98999977,25.43,19.62,11.0,1,1,True,False
2015-02-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,42.0,20.0,499.80000304,99.570002328,24.0,31.0,24.98999977,23.34,15.12,22.0,2,1,True,False
2015-03-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,48.0,30.0,749.6999892,138.849998942,20.0,26.0,24.98999977,27.11,19.17,18.0,3,1,True,False
2015-04-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,45.0,24.0,599.75999444,81.890000947,24.0,27.0,24.98999977,25.4,15.38,21.0,4,2,True,False
2015-05-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,82.0,48.0,1199.51997722,-8.140002237000004,48.0,61.0,24.98999977,24.22,15.97,34.0,5,2,True,False
2015-06-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,68.0,19.0,474.80999368000005,102.53000259,27.0,34.0,24.98999977,25.44,15.01,49.0,6,2,True,False
2015-07-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,79.0,36.0,899.6399916400001,170.52999974,28.0,30.0,24.98999977,22.6,17.22,43.0,7,3,True,False
2015-08-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,97.0,39.0,974.6099986300001,62.07999340100002,39.0,54.0,24.98999977,27.28,16.67,58.0,8,3,True,False
2015-09-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,89.0,19.0,474.80999559,-32.469998185,24.0,31.0,24.98999977,24.9,15.82,70.0,9,3,True,False
2015-10-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,117.0,38.0,949.61998923,41.52999985400001,33.0,47.0,24.98999977,26.4,17.25,79.0,10,4,True,False
2015-11-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,111.0,15.0,374.8499946,87.270001887,25.0,32.0,24.98999977,22.9,17.01,96.0,11,4,True,False
2015-12-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,120.0,29.0,724.70999325,186.759998822,19.0,24.0,24.98999977,24.92,18.83,91.0,12,4,True,False
2016-01-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,119.0,18.0,449.81999582000003,120.420002939,22.0,28.0,24.98999977,24.94,19.46,101.0,1,1,True,False
2016-02-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,133.0,26.0,649.73999394,141.099999895,22.0,32.0,24.98999977,27.18,18.26,107.0,2,1,True,False
2016-03-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,157.0,35.0,874.64999,85.289998064,35.0,50.0,24.98999977,25.35,15.62,122.0,3,1,True,False
2016-04-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,165.0,39.0,974.60999473,141.3799994,39.0,43.0,24.98999977,24.86,16.47,126.0,4,2,True,False
2016-05-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,162.0,21.0,524.78999509,127.190001482,28.0,36.0,24.98999977,23.83,19.56,141.0,5,2,True,False
2016-06-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,170.0,34.0,849.65998629,-138.079995964,27.0,29.0,24.98999977,24.15,15.44,136.0,6,2,True,False
2016-07-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,168.0,25.0,624.7499942100001,101.42999791999999,25.0,32.0,24.98999977,25.09,17.03,143.0,7,3,True,False
2016-08-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,172.0,17.0,424.8299941,63.610000147,23.0,29.0,24.98999977,24.68,19.7,155.0,8,3,True,False
2016-09-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,179.0,25.0,624.74999799,168.96000003,19.0,24.0,24.98999977,22.6,19.75,154.0,9,3,True,False
2016-10-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,179.0,23.0,574.76999467,13.820000326,23.0,25.0,24.98999977,26.62,17.05,156.0,10,4,True,False
2016-11-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,200.0,38.0,949.6199891900001,-67.60999969400001,38.0,44.0,24.98999977,26.97,18.33,162.0,11,4,True,False
2016-12-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,224.0,48.0,1199.51999274,243.420001033,48.0,62.0,24.98999977,23.19,17.28,176.0,12,4,True,False
2017-01-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,231.0,44.0,1099.55999175,210.450002204,44.0,55.0,24.98999977,25.26,18.76,187.0,1,1,True,False
2017-02-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,244.0,41.0,1024.58999618,19.680000257999996,41.0,57.0,24.98999977,23.03,15.15,203.0,2,1,True,False
2017-03-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,245.0,39.0,974.60998705,75.63000035900001,39.0,42.0,24.98999977,25.85,15.71,206.0,3,1,True,False
2017-04-01,93,Under Armour Men's Tech II T-Shirt,2,5,Lacrosse,247.0,14.0,349.85999869,26.940000541000003,32.0,41.0,24.98999977,23.9,18.06,233.0,4,2,True,False
2015-01-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,57.0,44.0,1979.5600355000001,245.37000346,46.0,57.0,44.99000168,47.96,28.77,13.0,1,1,True,False
2015-02-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,57.0,28.0,1259.72000484,365.200001484,35.0,44.0,44.99000168,47.76,34.74,29.0,2,1,True,False
2015-03-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,65.0,47.0,2114.53004434,380.989986964,32.0,36.0,44.99000168,43.34,34.4,18.0,3,1,True,False
2015-04-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,58.0,24.0,1079.76001344,321.68000177,32.0,40.0,44.99000168,49.07,35.11,34.0,4,2,True,False
2015-05-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,67.0,20.0,899.80002204,19.480005742,26.0,33.0,44.99000168,43.11,34.89,47.0,5,2,True,False
2015-06-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,77.0,26.0,1169.74002448,107.100001338,24.0,30.0,44.99000168,45.13,35.63,51.0,6,2,True,False
2015-07-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,103.0,48.0,2159.52000778,525.790000508,36.0,52.0,44.99000168,42.79,29.05,55.0,7,3,True,False
2015-08-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,116.0,41.0,1844.590019,142.150003934,41.0,61.0,44.99000168,48.91,35.38,75.0,8,3,True,False
2015-09-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,113.0,38.0,1709.62002546,337.47000219,38.0,38.0,44.99000168,41.97,32.13,75.0,9,3,True,False
2015-10-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,117.0,26.0,1169.74000534,-254.34000202800004,33.0,42.0,44.99000168,40.9,30.8,91.0,10,4,True,False
2015-11-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,126.0,37.0,1664.63003522,58.029997383,30.0,35.0,44.99000168,44.41,32.04,89.0,11,4,True,False
2015-12-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,134.0,36.0,1619.64001828,230.50000042899998,36.0,45.0,44.99000168,49.42,30.08,98.0,12,4,True,False
2016-01-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,133.0,28.0,1259.72000102,156.339994443,28.0,35.0,44.99000168,48.51,29.59,105.0,1,1,True,False
2016-02-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,138.0,27.0,1214.73002998,60.75000254399998,27.0,33.0,44.99000168,47.23,29.17,111.0,2,1,True,False
2016-03-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,162.0,37.0,1664.63002374,95.73998974300001,37.0,51.0,44.99000168,48.51,27.74,125.0,3,1,True,False
2016-04-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,203.0,65.0,2924.3500324,722.770000908,65.0,78.0,44.99000168,48.53,31.46,138.0,4,2,True,False
2016-05-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,176.0,30.0,1349.7000158600001,248.220001221,30.0,38.0,44.99000168,45.16,34.98,146.0,5,2,True,False
2016-06-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,186.0,38.0,1709.62004458,-485.149997634,38.0,40.0,44.99000168,43.33,32.66,148.0,6,2,True,False
2016-07-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,193.0,40.0,1799.60000584,167.769997423,40.0,45.0,44.99000168,47.44,31.68,153.0,7,3,True,False
2016-08-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,190.0,27.0,1214.7300108200002,134.169995546,29.0,37.0,44.99000168,46.44,30.85,163.0,8,3,True,False
2016-09-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,214.0,40.0,1799.6000364400002,350.10999786,38.0,51.0,44.99000168,43.85,31.17,174.0,9,3,True,False
2016-10-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,208.0,25.0,1124.7500419,406.19000435,27.0,34.0,44.99000168,41.34,28.88,183.0,10,4,True,False
2016-11-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,215.0,32.0,1439.68001538,300.109999656,30.0,32.0,44.99000168,47.21,34.4,183.0,11,4,True,False
2016-12-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,245.0,43.0,1934.5700147,-146.77000713000004,43.0,62.0,44.99000168,42.85,28.78,202.0,12,4,True,False
2017-01-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,258.0,48.0,2159.52003836,700.07000354,48.0,56.0,44.99000168,48.92,33.44,210.0,1,1,True,False
2017-02-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,259.0,43.0,1934.57002996,140.49001288900004,43.0,49.0,44.99000168,42.66,33.83,216.0,2,1,True,False
2017-03-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,259.0,30.0,1349.70001968,319.91999864499996,34.0,43.0,44.99000168,41.6,32.17,229.0,3,1,True,False
2017-04-01,116,Nike Men's Comfort 2 Slide,2,6,Tennis & Racquet,274.0,23.0,1034.7700079400001,97.829999207,36.0,45.0,44.99000168,47.97,34.76,251.0,4,2,True,False
2015-01-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,66.0,44.0,1100.0,108.64999508800001,44.0,66.0,25.0,23.11,15.53,22.0,1,1,True,False
2015-02-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,66.0,9.0,225.0,71.59000015999999,35.0,44.0,25.0,25.03,16.13,57.0,2,1,True,False
2015-03-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,83.0,27.0,675.0,133.930002198,20.0,26.0,25.0,25.97,19.2,56.0,3,1,True,False
2015-04-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,83.0,29.0,725.0,126.279998306,21.0,27.0,25.0,25.41,16.98,54.0,4,2,True,False
2015-05-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,81.0,43.0,1075.0,332.92000460500003,24.0,27.0,25.0,23.5,16.97,38.0,5,2,True,False
2015-06-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,71.0,29.0,725.0,60.39999722900001,29.0,33.0,25.0,26.52,16.23,42.0,6,2,True,False
2015-07-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,76.0,33.0,825.0,0.7000035149999988,33.0,34.0,25.0,26.08,17.46,43.0,7,3,True,False
2015-08-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,78.0,33.0,825.0,165.759997363,33.0,35.0,25.0,26.19,19.03,45.0,8,3,True,False
2015-09-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,77.0,32.0,800.0,173.609998414,32.0,32.0,25.0,23.16,19.48,45.0,9,3,True,False
2015-10-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,78.0,32.0,800.0,219.149998664,32.0,33.0,25.0,23.12,15.35,46.0,10,4,True,False
2015-11-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,78.0,24.0,600.0,94.650000573,25.0,32.0,25.0,27.14,17.87,54.0,11,4,True,False
2015-12-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,117.0,46.0,1150.0,-63.680000740000004,45.0,63.0,25.0,24.49,17.34,71.0,12,4,True,False
2016-01-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,107.0,31.0,775.0,198.579998489,31.0,36.0,25.0,24.0,18.07,76.0,1,1,True,False
2016-02-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,105.0,9.0,225.0,66.889999028,23.0,29.0,25.0,24.94,17.24,96.0,2,1,True,False
2016-03-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,124.0,35.0,875.0,-57.64999823,22.0,28.0,25.0,25.81,16.99,89.0,3,1,True,False
2016-04-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,115.0,24.0,600.0,139.48000098400001,23.0,26.0,25.0,27.28,17.36,91.0,4,2,True,False
2016-05-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,118.0,24.0,600.0,135.77999639,24.0,27.0,25.0,23.93,17.91,94.0,5,2,True,False
2016-06-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,143.0,34.0,850.0,104.52999373399997,34.0,49.0,25.0,27.12,17.5,109.0,6,2,True,False
2016-07-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,160.0,41.0,1025.0,-59.459997658999995,41.0,51.0,25.0,22.62,17.36,119.0,7,3,True,False
2016-08-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,162.0,38.0,950.0,-6.800002113999991,38.0,43.0,25.0,25.28,19.09,124.0,8,3,True,False
2016-09-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,168.0,39.0,975.0,222.820002077,39.0,44.0,25.0,25.67,18.73,129.0,9,3,True,False
2016-10-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,167.0,16.0,400.0,51.260001304999996,30.0,38.0,25.0,23.03,16.71,151.0,10,4,True,False
2016-11-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,181.0,32.0,800.0,228.95000135,24.0,30.0,25.0,23.2,19.0,149.0,11,4,True,False
2016-12-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,181.0,17.0,425.0,76.620000842,25.0,32.0,25.0,24.6,19.27,164.0,12,4,True,False
2017-01-01,134,Nike Women's Legend V-Neck T-Shirt,2,7,Hockey,188.0,16.0,400.0,123.350001454,19.0,24.0,25.0,27.33,15.77,172.0,1,1,True,False
